Available,Cost,Event name,Category,Organizer,Date,Time,Location,Photo,Summary
Y,,聯和趁墟－社區深度遊。步行導賞團,05. 認識香港,luenwomarket.hk,,,,,【聯和趁墟－社區深度遊。步行導賞團】 @luenwomarket.hk | 30/12 | 
Y,,〈自由靈魂的煩惱〉系列電影放映會：《真人Show (Truman Show)》,07. 藝術野,cloudatlas_bahk,,6-9pm,上水,,【〈自由靈魂的煩惱〉系列電影放映會：《真人Show (Truman Show)》】 @cloudatlas_bahk | 30/12 | 上水
Y,,〈自由靈魂的煩惱〉系列電影放映會：《搏擊會 (Fight Club)》,07. 藝術野,cloudatlas_bahk,,6-9pm,上水,,【〈自由靈魂的煩惱〉系列電影放映會：《搏擊會 (Fight Club)》】 @cloudatlas_bahk | 30/12 | 上水
Y,Free,大坑西邨沉浸式探索導賞團：《大坑西邨的「連」與「結」》,05. 認識香港,cogito._hk,,,大坑西邨,Snapinsta.app_445881427_417033541102454_4563357379030737336_n_1024,【大坑西邨沉浸式探索導賞團：《大坑西邨的「連」與「結」》】 @cogito._hk | 30/12 | 大坑西邨
Y,Free,四分鐘辯手 (成人辯論班),17. 其他,4mins_debater,,,online,Snapinsta.app_437773724_17941459604803204_611183937251316190_n_1024,【四分鐘辯手 (成人辯論班)】 @4mins_debater | 30/12 | online
Y,Free,南亞文化研習小組：南亞宗教信仰,06. 留在香港 環遊世界,fredie.hung,24/6,,少數點文化,441359720_765321722403047_1708163004769856949_n,【南亞文化研習小組：南亞宗教信仰】 @fredie.hung | 24/6 | 少數點文化
Y,Free,【招募試坐員】一齊喺城市入面揾下可以坐喺邊？！,04. 香港人/社區/文化,livingkatung,"15, 21, 22/6",,油尖旺區,Snapinsta.app_447921650_1939918759744392_7399420214565081835_n_1080,"【【招募試坐員】一齊喺城市入面揾下可以坐喺邊？！】 @livingkatung | 15, 21, 22/6 | 油尖旺區"
Y,,薄鳧林牧場導賞,05. 認識香港,thepokfulamfarm,"7/6, 8/6, 9/6, 14/6, 15/6, 16/6, 21/6, 22/6, 23/6, 28/6, 29/6, 30/6",,薄鳧林牧場,Snapinsta.app_444485365_836738061821339_5626708753901044054_n_1024,"【薄鳧林牧場導賞】 @thepokfulamfarm | 7/6, 8/6, 9/6, 14/6, 15/6, 16/6, 21/6, 22/6, 23/6, 28/6, 29/6, 30/6 | 薄鳧林牧場"
Y,,作「飾」生活‧文創市集,16. 市集,dreamcatcher_market,"14-16/6, 21-23/6, 28/6-1/7",,Mira Place B1 Atrium,Snapinsta.app_428373621_877677144400603_4724541169378306835_n_1080,"【作「飾」生活‧文創市集】 @dreamcatcher_market | 14-16/6, 21-23/6, 28/6-1/7 | Mira Place B1 Atrium"
Y,,牛亭集序 — 牛之塗鴉,07. 藝術野,artempathy.hk,21-23/6,,亞洲國際博覽館 6號館 6H11,,【牛亭集序 — 牛之塗鴉】 @artempathy.hk | 21-23/6 | 亞洲國際博覽館 6號館 6H11
Y,,熔爐行為藝術坊2024——七月主題: [身體練習之源頭],07. 藝術野,performance_art_furnace_hk,21-27/7,,灣仔富德樓,,【熔爐行為藝術坊2024——七月主題: [身體練習之源頭]】 @performance_art_furnace_hk | 21-27/7 | 灣仔富德樓
Y,,藝術應用證書工作坊,07. 藝術野,sinceconceptstore,"28/5, 22/6",,SINCE Concept Store,,"【藝術應用證書工作坊】 @sinceconceptstore | 28/5, 22/6 | SINCE Concept Store"
Y,,電影評論寫作坊,07. 藝術野,as.if_literature,"25/5, 1/6, 22/6, 29/6",8pm,石門,,"【電影評論寫作坊】 @as.if_literature | 25/5, 1/6, 22/6, 29/6 | 石門"
Y,,手沖咖啡體驗班,17. 其他,mybook1hk,"12/6, 22/6, 11/7, 27/7",,afterword cafe,,"【手沖咖啡體驗班】 @mybook1hk | 12/6, 22/6, 11/7, 27/7 | afterword cafe"
Y,,【香港老舖記錄冊 x 悅和醬園】本地醬園導賞團,05. 認識香港,hongkonghistoricalshops,"1/6, 15/6, 22/6, 29/6",10am-12pm,上水古洞悅和醬園,,"【【香港老舖記錄冊 x 悅和醬園】本地醬園導賞團】 @hongkonghistoricalshops | 1/6, 15/6, 22/6, 29/6 | 上水古洞悅和醬園"
Y,,寧靜的舒寫 | 《心經》抄寫。熱茶,11. 身心靈,just_bookstore,"18, 25/5, 1, 8, 15, 22, 29/6",6:30-9:30pm,灣仔告士打道 169號 1樓,,"【寧靜的舒寫 | 《心經》抄寫。熱茶】 @just_bookstore | 18, 25/5, 1, 8, 15, 22, 29/6 | 灣仔告士打道 169號 1樓"
Y,,「雪櫃暖說話 - 打開家庭心底話」互動工作坊,10. 親子關係,bgcahk,"18/5, 25/5, 1/6, 8/6, 15/6, 22/6",,香港小童群益會總部1樓,,"【「雪櫃暖說話 - 打開家庭心底話」互動工作坊】 @bgcahk | 18/5, 25/5, 1/6, 8/6, 15/6, 22/6 | 香港小童群益會總部1樓"
Y,,常霖法師「自在生活禪」之〈周六共修聽故事,11. 身心靈,pause_breathe,"15/6, 22/6, 29/6",10-11:15am,online,,"【常霖法師「自在生活禪」之〈周六共修聽故事】 @pause_breathe | 15/6, 22/6, 29/6 | online"
